#K linf phi
0.289637 72.8521 76.0484
0.287371 72.7016 77.1913
0.279636 73.733 78.3016
0.289256 73.1095 77.7639
0.27404 74.3391 79.8546
0.256268 75.8385 76.9278
0.271754 73.9199 82.9657
0.291773 72.4267 75.4005
0.273256 74.3164 79.4592
0.273038 73.7027 79.0597
0.29219 72.7239 75.423
0.300378 71.8229 79.3407
0.281344 73.5614 77.5552
0.270406 73.8773 76.3358
0.258636 74.9616 79.5725
0.26496 75.0397 80.1889
0.283489 73.3624 81.2769
0.276439 73.7593 75.4374
0.275862 73.9673 80.2149
0.260964 75.0137 73.9603
0.270012 74.3143 76.6234
0.273383 74.0509 75.3018
0.253687 76.0237 77.4199
0.278476 73.6087 76.3256
0.241978 76.9665 74.6541
0.27478 74.2463 80.2461
0.271162 74.0433 77.9703
0.26735 74.3534 76.6617
0.269596 74.4548 81.0451
0.25622 75.7473 79.7897
0.270621 74.1559 76.573
0.276452 73.8246 76.8758
0.242557 76.9091 72.6233
0.244906 76.6953 77.9716
0.269106 74.3768 78.6117
0.294367 72.5776 80.5406
0.288004 72.9631 78.7113
0.271232 74.3123 79.3298
0.25498 75.9772 74.4613
0.255669 75.6563 81.2911
0.247881 76.5095 76.1997
0.254939 75.6893 80.7388
0.270763 74.4404 78.7272
0.289052 72.786 79.3771
0.275914 73.776 79.2402
0.276183 73.8925 81.5725
0.295493 72.448 75.5154
0.263222 74.5531 79.5571
0.275373 73.9332 80.2066
0.303251 71.9617 78.0363
0.281818 73.3859 77.6563
0.280848 73.4677 78.3934
0.26871 74.5961 77.4085
0.261275 75.0874 80.2273
0.276733 73.7705 78.7259
0.24433 76.6368 78.8526
0.266398 74.702 78.8009
0.287668 73.1741 76.8966
0.28161 73.3891 78.7915
0.28725 73.0258 76.5002
0.274368 74.2308 80.0639
0.294431 72.5727 85.5096
0.297949 72.3828 78.5352
0.28568 72.8455 75.6904
0.273315 74.1811 79.1705
0.270879 74.469 80.4798
0.280516 73.554 76.4041
0.278474 73.6871 81.3509
0.284629 72.9765 77.1071
0.291802 72.8069 81.5303
0.292454 72.2946 78.8728
0.287081 72.9167 79.172
0.279259 73.4811 80.3947
0.265318 74.5561 83.0374
0.259128 75.4855 81.4343
0.27317 73.9243 80.7417
0.272475 74.1958 78.3817
0.279022 73.5669 77.1932
0.279643 73.5605 76.9842
0.268022 74.4656 80.1563
0.286923 73.0099 75.9854
0.267251 74.8498 82.8345
0.257149 75.7113 75.4692
0.279215 73.871 79.151
0.268973 74.6165 82.6929
0.272736 74.0747 80.0054
0.277026 73.5785 79.2093
0.265289 75.0126 78.3466
0.268869 74.6349 79.7251
0.268103 74.4262 77.0905
0.277774 73.5643 79.0621
0.289003 72.5931 80.2957
0.284577 73.318 75.9138
0.274224 74.282 78.5466
0.254578 75.46 81.4526
0.266293 74.7268 78.7207
0.264273 74.8428 78.5731
0.295457 72.5054 80.4684
0.27129 74.1383 81.5394
0.244024 76.8163 85.6432
0.265113 75.0341 78.7161
0.234469 78.2277 81.978
0.251504 75.8571 83.5897
0.277215 73.8985 79.2543
0.293875 72.3855 75.2057
0.277602 73.645 81.2108
0.277427 74.0636 79.9369
0.264188 74.7409 81.8448
0.273947 74.0489 80.0086
0.272711 73.8348 77.4577
0.293696 72.4371 79.8395
0.271494 74.2393 81.5838
0.273456 74.0119 76.6634
0.278383 73.5479 77.5785
0.272053 74.5813 75.0443
0.285557 72.9622 78.6644
0.288139 72.9082 78.9857
0.275841 73.7668 76.5123
0.269039 74.4812 78.7575
0.258986 75.3015 78.3246
0.263947 74.9833 80.5496
0.279886 73.5472 76.2283
0.281318 73.6993 81.3321
0.252131 75.9652 75.4181
0.280915 73.4198 82.1166
0.277223 73.8672 80.8695
0.260405 75.3483 79.6916
0.254373 75.7331 75.2758
0.260916 75.064 77.8854
0.279197 73.5715 80.6822
0.286354 73.0172 76.5181
0.286765 73.1049 73.2842
0.292448 72.4434 79.4702
0.29448 72.4854 81.6305
0.283885 73.2859 76.6029
0.281109 73.4452 75.2937
0.277657 73.8017 74.8027
0.291734 72.8723 79.2542
0.29828 72.0733 80.0952
0.280439 73.4154 79.7529
0.267972 74.6784 76.5877
0.268963 74.5194 76.2839
0.258433 75.6211 80.0346
0.289148 72.6281 79.5827
0.2907 72.7283 81.8946
0.255169 75.9273 81.3855
0.262672 74.9852 82.0875
0.299237 72.1033 77.9819
0.300146 72.0867 75.6466
0.286567 73.0837 84.4007
0.279281 73.7422 76.7684
0.277688 73.8424 80.6204
0.254827 75.5419 75.0772
0.253024 75.8042 79.9796
0.269894 74.0964 76.9407
0.266798 74.6256 77.0431
0.28507 73.1345 76.7527
0.276168 73.8994 82.7726
0.290752 73.01 75.9423
0.270076 74.4478 77.4406
0.262744 74.7288 86.7617
0.277621 73.7409 79.439
0.255527 76.1091 77.0202
0.283257 73.3193 78.3137
0.273209 73.8415 80.8882
0.284092 73.1858 80.4108
0.288445 72.8286 79.5231
0.285847 73.0833 78.4435
0.286058 72.8808 76.691
0.272719 74.1101 82.8731
0.269447 74.4697 81.8464
0.269917 74.3436 79.0521
0.277684 73.89 85.1477
0.274523 73.8887 80.1458
0.276821 73.8509 78.822
0.274628 73.925 78.2143
0.283866 73.6333 81.3854
0.277153 73.6569 81.0809
0.287443 73.1542 83.0646
0.296323 72.2512 85.247
0.308716 71.6092 85.9189
0.289037 72.5564 77.412
0.256856 76.0664 80.2578
0.236184 77.7597 74.5183
0.274967 73.9214 79.4243
0.273716 74.1747 77.4942
0.29061 72.8022 77.2351
0.278127 73.4011 76.6624
0.274578 74.0271 79.0927
0.262581 74.974 79.8574
0.274024 74.1523 82.1568
0.271811 74.1221 81.573
0.273398 74.0045 78.1438
0.312782 71.386 78.9653
0.288507 72.5623 78.9259
0.296964 72.1933 83.513
0.257836 75.648 77.7704
0.278687 73.4414 79.035
0.263778 74.9624 80.1345
0.278489 73.7457 79.1563
0.28016 73.8831 78.3967
0.281233 73.3901 83.4491
0.293686 72.7456 78.7677
0.262346 74.9976 80.0204
0.274833 73.8446 81.4679
0.277467 73.6884 81.0678
0.307851 71.3892 77.677
0.278818 73.8003 76.9503
0.277598 73.7692 76.3827
0.285535 73.0237 76.8014
0.284357 73.3782 80.0293
0.272906 73.9027 75.9356
0.248861 76.4557 80.353
0.247589 76.515 75.6605
0.288975 72.9433 79.0552
0.275722 74.1034 81.7186
0.289648 72.7145 77.8995
0.295491 72.3286 76.382
0.294044 72.2821 78.0901
0.277508 73.5482 81.8219
0.27663 73.6007 81.8265
0.270441 74.1254 81.9442
0.275362 73.9091 76.9653
0.27144 74.519 78.4143
0.27853 73.6758 77.5418
0.277028 73.9803 76.2616
0.287974 72.9776 81.0105
0.29281 72.6237 79.2441
0.27656 73.6904 78.6938
0.272545 74.0633 77.7212
0.285076 72.9179 78.3948
0.261504 75.1373 79.5801
0.255193 76.1377 79.0094
0.292012 72.168 78.1778
0.278518 73.4557 78.8762
0.273383 73.9861 84.1792
0.269116 74.2678 82.6808
0.277231 73.6758 76.0368
0.289441 72.7536 73.7622
0.276908 73.7205 78.1005
0.269817 74.0875 77.8591
0.304405 71.8537 75.1316
0.293943 72.6544 82.5913
0.27279 74.2119 75.7138
0.278258 73.7782 73.668
0.276328 74.0656 79.9186
0.284686 73.2736 78.7037
0.265076 74.9415 80.1655
0.273174 74.0947 77.3331
0.267828 74.5049 77.6169
0.269043 74.3428 78.2203
0.278626 73.45 78.7425
0.255143 75.3259 77.3186
0.261755 75.1223 74.4724
0.285735 72.9253 78.0075
0.278754 73.5673 81.3478
0.277207 73.6044 75.6639
0.283637 73.5589 76.7085
0.273262 74.2637 77.1169
0.284297 72.963 78.5352
0.303003 72.0382 79.9254
0.287043 72.8687 78.7226
0.273215 74.0293 79.6685
0.284813 73.3109 82.5824
0.297571 72.0363 75.9388
0.278915 73.525 78.1832
0.273025 74.2603 79.5616
0.266589 74.386 75.8678
0.267674 74.8159 79.2312
0.292535 72.4748 75.7008
0.308945 71.6863 77.2034
0.30115 71.79 80.0686
0.263264 75.1051 83.2608
0.263125 75.0114 76.1528
0.272203 74.2512 84.6401
0.276644 74.0092 80.5793
0.281806 73.5693 80.9608
0.279289 73.3824 76.5355
0.300457 71.5933 79.2195
0.290676 72.6327 75.6161
0.274358 74.1292 77.9055
0.280882 73.471 76.8449
0.293354 72.3285 76.9022
0.283996 73.4854 78.2489
0.270467 74.2104 77.4458
0.286703 73.0714 78.185
0.281459 73.4051 81.5642
0.281906 73.187 78.48
0.263477 74.9409 80.1355
0.276165 73.7915 79.6075
0.269209 74.3157 76.0204
0.267288 74.6688 79.8839
0.259598 75.6851 77.2366
0.305563 71.716 81.7733
0.301552 72.0292 79.3345
0.293373 72.5536 76.2051
0.272496 74.119 82.2666
0.277012 73.6865 79.9852
0.272561 73.8007 74.1122
0.263485 74.7936 80.4323
0.280364 73.5609 75.9698
0.276161 73.8276 78.7393
0.27209 74.1189 80.4364
0.297247 72.2712 78.2855
0.27586 73.8407 76.4662
0.280559 73.4467 77.4276
0.28029 73.1164 81.1149
0.277773 73.8933 81.573
